time / min	temperature / °C	temperature rate / ( °C/min)
937.163	140.067	0.021
996.586	141.068	0.017
1107.25	150.384	0.044
1127.019	151.387	0.051
1146.049	152.387	0.053
1163.104	153.389	0.059
1178.283	154.392	0.066
1192.549	155.393	0.07
1206.389	156.396	0.072
1219.765	157.397	0.075
1232.794	158.402	0.077
1245.498	159.402	0.079
1257.538	160.409	0.084
1268.697	161.41	0.09
1279.099	162.412	0.096
1288.744	163.412	0.104
1297.659	164.413	0.112
1305.779	165.414	0.123
1313.359	166.416	0.132
1362.852	171.708	0.207
1366.922	172.711	0.247
1370.597	173.714	0.273
1373.813	174.718	0.312
1376.713	175.719	0.345
1379.325	176.722	0.384
1381.729	177.725	0.418
1383.857	178.726	0.47
1385.808	179.727	0.513
1387.629	180.727	0.549
1389.282	181.727	0.605
1390.794	182.729	0.663
1392.194	183.732	0.716
1393.508	184.735	0.763
1394.725	185.735	0.822
1395.786	186.737	0.944
1396.835	187.737	0.954
1397.803	188.74	1.036
1398.705	189.745	1.115
1399.531	190.745	1.211
1400.313	191.75	1.286
1401.067	192.753	1.329
1401.764	193.754	1.437
1402.429	194.757	1.507
1403.042	195.759	1.634
1403.625	196.764	1.725
1404.19	197.765	1.772
1404.713	198.767	1.915
1405.215	199.769	1.997
1405.684	200.77	2.135
1406.159	201.772	2.109
1406.604	202.778	2.262
1407.046	203.785	2.277
1407.479	204.793	2.329
1407.924	205.797	2.254
1408.326	206.8	2.495
1408.699	207.801	2.684
1409.06	208.807	2.788
1409.403	209.812	2.928
1409.736	210.817	3.02
1410.028	211.827	3.458
1410.328	212.827	3.334
1410.602	213.837	3.686
1410.854	214.846	4.003
1411.106	215.868	4.056
1411.332	216.887	4.507
1411.53	217.887	5.054
1411.713	218.888	5.467
1411.915	219.894	4.982
1412.077	220.918	6.321
1412.233	221.926	6.458
1412.396	222.941	6.229
1412.531	223.943	7.417
1412.663	224.954	7.665
1412.804	225.964	7.161
1412.934	226.974	7.773
1413.045	227.984	9.095
1413.153	228.993	9.345
1413.261	229.995	9.273
1413.366	231.014	9.71
1413.469	232.046	10.018
1413.565	233.052	10.482
1413.658	234.071	10.957
1413.745	235.074	11.526
1413.826	236.08	12.42
1413.905	237.101	12.925
1413.98	238.146	13.933
1414.046	239.182	15.695
1414.109	240.184	15.899
1414.166	241.238	18.501
1414.217	242.244	19.722
1414.275	243.272	17.724
1414.332	244.327	18.505
1414.386	245.341	18.789
1414.434	246.343	20.855
1414.485	247.385	20.447
1414.539	248.465	19.999
1414.587	249.508	21.725
1414.629	250.532	24.368
1414.671	251.555	24.377
1414.713	252.587	24.572
1414.752	253.644	27.081
1414.791	254.689	26.802
1414.842	255.781	21.409
1414.897	256.822	18.938
1414.951	257.869	19.391
1414.999	258.967	22.861
1415.035	260.006	28.882
1415.065	261.018	33.733
1415.092	262.034	37.611
1415.122	263.036	33.393
1415.155	264.145	33.627
1415.188	265.197	31.863
1415.218	266.247	34.994
1415.257	267.251	25.757
1415.312	268.351	19.988
1415.351	269.408	27.108
1415.405	270.449	19.279
1415.444	271.471	26.218
1415.477	272.494	31.004
1415.495	273.527	57.369
1415.507	274.589	88.503
1415.519	275.718	94.036
1415.528	276.853	126.196
1415.537	278.257	156
1415.549	279.544	107.24
1415.558	280.891	149.592
1415.567	282.514	180.354
1415.576	284.35	204.046
1415.585	285.711	151.155
1415.594	287.055	149.398
