time,T,dTdt
1.719240000000000146e+04,3.536819999999999595e+02,4.000000000000000192e-04
2.011176000000000204e+04,3.546829999999999927e+02,3.499999999999999964e-04
2.367221999999999753e+04,3.556829999999999927e+02,2.833333333333333537e-04
2.795081999999999971e+04,3.566839999999999691e+02,2.333333333333333310e-04
3.423641999999999825e+04,3.637239999999999895e+02,4.666666666666666619e-04
3.630239999999999418e+04,3.647249999999999659e+02,4.833333333333333362e-04
3.834659999999999854e+04,3.657259999999999991e+02,4.833333333333333362e-04
4.031616000000000349e+04,3.667299999999999613e+02,5.166666666666666846e-04
4.221516000000000349e+04,3.677319999999999709e+02,5.333333333333333589e-04
4.403886000000000058e+04,3.687319999999999709e+02,5.500000000000000331e-04
4.580573999999999796e+04,3.697339999999999804e+02,5.666666666666667074e-04
4.747859999999999854e+04,3.707339999999999804e+02,5.999999999999999474e-04
4.905503999999999360e+04,3.717369999999999663e+02,6.333333333333332959e-04
5.054627999999999884e+04,3.727369999999999663e+02,6.666666666666666444e-04
5.194836000000000058e+04,3.737409999999999854e+02,7.166666666666665587e-04
5.328192000000000553e+04,3.747419999999999618e+02,7.500000000000000156e-04
5.452368000000000029e+04,3.757419999999999618e+02,8.000000000000000383e-04
5.568869999999999709e+04,3.767439999999999714e+02,8.666666666666666269e-04
5.677409999999999854e+04,3.777450000000000045e+02,9.166666666666666496e-04
5.779709999999999854e+04,3.787459999999999809e+02,9.833333333333332382e-04
5.875218000000000029e+04,3.797459999999999809e+02,1.049999999999999935e-03
5.963394000000000233e+04,3.807489999999999668e+02,1.133333333333333415e-03
6.047760000000000582e+04,3.817519999999999527e+02,1.183333333333333329e-03
6.125141999999999825e+04,3.827549999999999955e+02,1.299999999999999940e-03
6.197748000000000320e+04,3.837559999999999718e+02,1.383333333333333420e-03
6.265955999999999767e+04,3.847569999999999482e+02,1.466666666666666683e-03
6.328757999999999447e+04,3.857589999999999577e+02,1.600000000000000077e-03
6.387792000000000553e+04,3.867609999999999673e+02,1.699999999999999905e-03
6.441989999999999418e+04,3.877659999999999627e+02,1.850000000000000082e-03
6.493374000000000524e+04,3.887659999999999627e+02,1.950000000000000127e-03
6.540239999999999418e+04,3.897669999999999959e+02,2.133333333333333436e-03
6.584393999999998778e+04,3.907669999999999959e+02,2.266666666666666829e-03
6.625680000000000291e+04,3.917679999999999723e+02,2.433333333333333355e-03
6.663461999999999534e+04,3.927699999999999818e+02,2.650000000000000012e-03
6.698760000000000582e+04,3.937749999999999773e+02,2.850000000000000103e-03
6.731994000000000233e+04,3.947769999999999868e+02,3.016666666666666628e-03
6.762413999999999942e+04,3.957789999999999964e+02,3.299999999999999982e-03
6.790859999999999127e+04,3.967799999999999727e+02,3.516666666666666639e-03
6.817217999999999302e+04,3.977839999999999918e+02,3.816666666666666992e-03
6.841847999999999593e+04,3.987849999999999682e+02,4.066666666666666347e-03
6.864941999999999825e+04,3.997859999999999445e+02,4.333333333333333134e-03
6.886313999999999942e+04,4.007869999999999777e+02,4.683333333333333619e-03
6.906527999999999884e+04,4.017880000000000109e+02,4.949999999999999539e-03
6.925458000000000175e+04,4.027889999999999873e+02,5.283333333333333458e-03
7.104000000000000000e+04,4.071809999999999832e+02,6.183333333333333216e-03
7.119396000000000640e+04,4.081809999999999832e+02,6.500000000000000569e-03
7.133100000000000000e+04,4.091849999999999454e+02,7.333333333333333197e-03
7.145850000000000000e+04,4.101859999999999786e+02,7.849999999999999339e-03
7.157555999999999767e+04,4.111879999999999882e+02,8.550000000000000308e-03
7.168517999999999302e+04,4.121909999999999741e+02,9.150000000000000147e-03
7.178507999999998719e+04,4.131920000000000073e+02,1.003333333333333334e-02
7.187868000000000757e+04,4.141970000000000027e+02,1.073333333333333431e-02
7.196483999999999651e+04,4.151989999999999554e+02,1.163333333333333233e-02
7.204494000000000233e+04,4.162039999999999509e+02,1.255000000000000039e-02
7.212047999999999593e+04,4.172049999999999841e+02,1.325000000000000136e-02
7.218954000000000815e+04,4.182060000000000173e+02,1.450000000000000074e-02
7.225590000000000873e+04,4.192060000000000173e+02,1.506666666666666744e-02
7.231938000000000466e+04,4.202089999999999463e+02,1.579999999999999807e-02
7.237704000000000815e+04,4.212110000000000127e+02,1.738333333333333050e-02
7.242863999999999942e+04,4.222149999999999750e+02,1.946666666666666684e-02
7.247441999999999825e+04,4.232219999999999800e+02,2.198333333333333389e-02
7.251612000000000990e+04,4.242239999999999895e+02,2.403333333333333363e-02
7.255469999999999709e+04,4.252279999999999518e+02,2.603333333333333541e-02
7.259039999999999418e+04,4.262309999999999945e+02,2.809999999999999998e-02
7.262340000000000873e+04,4.272350000000000136e+02,3.041666666666666477e-02
7.265405999999999767e+04,4.282359999999999900e+02,3.263333333333333364e-02
7.268250000000000000e+04,4.292379999999999427e+02,3.525000000000000355e-02
7.270919999999999709e+04,4.302419999999999618e+02,3.758333333333332971e-02
7.273374000000000524e+04,4.312459999999999809e+02,4.090000000000000580e-02
7.275695999999999185e+04,4.322469999999999573e+02,4.311666666666667119e-02
7.277916000000000349e+04,4.332549999999999955e+02,4.543333333333333252e-02
7.279992000000001281e+04,4.342590000000000146e+02,4.836666666666666892e-02
7.281887999999999010e+04,4.352640000000000100e+02,5.300000000000000544e-02
7.283669999999999709e+04,4.362690000000000055e+02,5.641666666666666358e-02
7.285350000000000000e+04,4.372719999999999914e+02,5.971666666666666790e-02
7.286952000000000407e+04,4.382769999999999868e+02,6.268333333333334090e-02
7.288452000000000407e+04,4.392789999999999964e+02,6.685000000000000664e-02
7.289874000000000524e+04,4.402849999999999682e+02,7.068333333333333413e-02
7.291188000000000466e+04,4.412849999999999682e+02,7.614999999999999547e-02
7.292418000000000757e+04,4.422969999999999686e+02,8.221666666666666012e-02
7.293588000000000466e+04,4.432999999999999545e+02,8.574999999999999289e-02
7.294691999999999825e+04,4.443189999999999600e+02,9.231666666666665799e-02
7.295754000000000815e+04,4.453360000000000127e+02,9.573333333333332307e-02
7.296726000000000931e+04,4.463389999999999418e+02,1.032166666666666649e-01
7.297625999999999476e+04,4.473419999999999845e+02,1.114166666666666639e-01
7.298513999999999942e+04,4.483739999999999668e+02,1.162333333333333413e-01
7.299341999999999825e+04,4.493750000000000000e+02,1.209166666666666584e-01
7.300115999999998894e+04,4.503899999999999864e+02,1.311333333333333517e-01
7.300836000000000058e+04,4.513909999999999627e+02,1.389666666666666550e-01
7.301544000000000233e+04,4.523929999999999723e+02,1.416166666666666685e-01
7.302155999999999767e+04,4.534139999999999873e+02,1.667500000000000093e-01
7.302786000000000058e+04,4.544279999999999973e+02,1.609666666666666468e-01
7.303380000000000291e+04,4.554529999999999745e+02,1.726000000000000034e-01
7.303919999999999709e+04,4.564749999999999659e+02,1.892500000000000016e-01
7.304441999999999825e+04,4.574809999999999945e+02,1.926666666666666805e-01
7.304952000000000407e+04,4.585099999999999909e+02,2.018333333333333368e-01
7.305419999999999709e+04,4.595330000000000155e+02,2.184499999999999775e-01
7.305869999999999709e+04,4.605789999999999509e+02,2.324999999999999845e-01
7.306302000000000407e+04,4.616089999999999804e+02,2.383500000000000063e-01
7.306697999999999593e+04,4.626319999999999482e+02,2.583499999999999686e-01
7.307075999999999476e+04,4.636630000000000109e+02,2.728333333333333721e-01
7.307436000000000058e+04,4.646730000000000018e+02,2.804500000000000326e-01
7.307783999999999651e+04,4.657099999999999795e+02,2.980999999999999761e-01
7.308108000000000175e+04,4.667269999999999754e+02,3.139666666666666717e-01
7.308413999999999942e+04,4.677500000000000000e+02,3.341333333333332822e-01
7.308719999999999709e+04,4.687919999999999732e+02,3.407666666666667177e-01
7.308989999999999418e+04,4.698259999999999650e+02,3.827499999999999791e-01
7.309260000000000582e+04,4.708339999999999463e+02,3.732166666666666965e-01
7.309511999999999534e+04,4.718929999999999723e+02,4.205666666666666997e-01
7.309770000000001164e+04,4.729489999999999554e+02,4.092333333333332823e-01
7.310004000000000815e+04,4.739859999999999900e+02,4.431999999999999829e-01
7.310219999999999709e+04,4.749969999999999573e+02,4.679666666666666419e-01
7.310454000000000815e+04,4.761009999999999991e+02,4.717500000000000027e-01
7.310688000000000466e+04,4.772329999999999472e+02,4.836499999999999688e-01
7.310903999999999360e+04,4.782549999999999955e+02,4.730833333333333557e-01
7.311102000000000407e+04,4.792989999999999782e+02,5.273499999999999854e-01
7.311318000000000757e+04,4.803679999999999382e+02,4.950666666666666549e-01
7.311516000000000349e+04,4.815209999999999582e+02,5.820333333333332915e-01
7.311695999999999185e+04,4.826369999999999436e+02,6.200333333333333252e-01
7.311840000000000873e+04,4.836709999999999354e+02,7.183499999999999330e-01
7.311983999999999651e+04,4.847869999999999777e+02,7.747333333333333849e-01
7.312127999999999884e+04,4.858689999999999714e+02,7.515999999999999348e-01
7.312236000000000058e+04,4.869169999999999732e+02,9.701833333333332865e-01
7.312362000000000990e+04,4.880339999999999918e+02,8.864999999999999547e-01
7.312452000000000407e+04,4.890929999999999609e+02,1.176549999999999985e+00
7.312560000000000582e+04,4.902500000000000000e+02,1.071933333333333405e+00
7.312650000000000000e+04,4.913269999999999982e+02,1.195799999999999974e+00
7.312739999999999418e+04,4.924539999999999509e+02,1.253249999999999975e+00
7.312811999999999534e+04,4.939089999999999918e+02,2.020249999999999879e+00
7.312847999999999593e+04,4.951609999999999445e+02,3.478149999999999853e+00
7.312865999999998894e+04,5.002869999999999777e+02,2.847686666666666966e+01
7.312884000000001106e+04,5.047869999999999777e+02,2.499871666666666670e+01
7.312902000000000407e+04,5.092869999999999777e+02,2.499871666666666670e+01
7.312919999999999709e+04,5.137859999999999445e+02,2.499871666666666670e+01
7.313100000000000000e+04,5.487699999999999818e+02,1.943526666666666713e+01
7.313118000000000757e+04,5.837529999999999291e+02,1.943527333333333331e+02
7.313136000000000058e+04,6.187369999999999663e+02,1.943527333333333331e+02
7.313153999999999360e+04,6.562860000000000582e+02,2.086069333333333304e+02
7.313172000000000116e+04,6.588519999999999754e+02,1.425419999999999909e+01
7.313189999999999418e+04,6.614179999999998927e+02,1.425419999999999909e+01
7.313208000000000175e+04,6.639829999999999472e+02,1.425419999999999909e+01
7.313226000000000931e+04,6.651889999999999645e+02,6.700733333333332986e+00
