time,NFkB_nuc
0.00000000,0.00080768
0.03333333,0.01656417
0.06666667,0.02833208
0.10000000,0.03781250
0.13333333,0.04515722
0.16666667,0.05132892
0.20000000,0.05482887
0.23333333,0.05822513
0.26666667,0.06072579
0.30000000,0.06199574
0.33333333,0.06456232
0.36666667,0.06598937
0.40000000,0.06823638
0.43333333,0.06798894
0.46666667,0.06904398
0.50000000,0.06961562
0.53333333,0.06974443
0.56666667,0.07139001
0.60000000,0.07175634
0.63333333,0.07228676
0.66666667,0.07199775
0.70000000,0.07352548
0.73333333,0.07270050
0.76666667,0.07405719
0.80000000,0.07523030
0.83333333,0.07421003
0.86666667,0.07483345
0.90000000,0.07556344
0.93333333,0.07570972
0.96666667,0.07564971
1.00000000,0.07680562
1.03333333,0.07670095
1.06666667,0.07781221
1.10000000,0.07758085
1.13333333,0.07911174
1.16666667,0.07844297
1.20000000,0.07904775
1.23333333,0.07995659
1.26666667,0.07940705
1.30000000,0.08045434
1.33333333,0.08132372
1.36666667,0.08036190
1.40000000,0.08154699
1.43333333,0.08194192
1.46666667,0.08253579
1.50000000,0.08196266
1.53333333,0.08226892
1.56666667,0.08345025
1.60000000,0.08368084
1.63333333,0.08398748
1.66666667,0.08435369
1.70000000,0.08420114
1.73333333,0.08492945
1.76666667,0.08526292
1.80000000,0.08510244
1.83333333,0.08657672
1.86666667,0.08622947
1.90000000,0.08575188
1.93333333,0.08687508
1.96666667,0.08640227
2.00000000,0.08747550
2.03333333,0.08790786
2.06666667,0.08726024
2.10000000,0.08832816
2.13333333,0.08832362
2.16666667,0.08875297
2.20000000,0.08948166
2.23333333,0.08873472
2.26666667,0.08873002
2.30000000,0.08889097
2.33333333,0.08914308
2.36666667,0.08969470
2.40000000,0.09009533
2.43333333,0.09027086
2.46666667,0.09072324
2.50000000,0.09054743
2.53333333,0.09139832
2.56666667,0.09080091
2.60000000,0.09234975
2.63333333,0.09157231
2.66666667,0.09107066
2.70000000,0.09114545
2.73333333,0.09202443
2.76666667,0.09186678
2.80000000,0.09245691
2.83333333,0.09250482
2.86666667,0.09240968
2.90000000,0.09220696
2.93333333,0.09204933
2.96666667,0.09268235
3.00000000,0.09341943
3.03333333,0.09326401
3.06666667,0.09273174
3.10000000,0.09351267
3.13333333,0.09373890
3.16666667,0.09328498
3.20000000,0.09388292
3.23333333,0.09396002
3.26666667,0.09352891
3.30000000,0.09433049
3.33333333,0.09453614
3.36666667,0.09488521
3.40000000,0.09497964
3.43333333,0.09397332
3.46666667,0.09427741
3.50000000,0.09504233
3.53333333,0.09514014
3.56666667,0.09523685
3.60000000,0.09685683
3.63333333,0.09544815
3.66666667,0.09579605
3.70000000,0.09580071
3.73333333,0.09574802
3.76666667,0.09538975
3.80000000,0.09596269
3.83333333,0.09534224
3.86666667,0.09566538
3.90000000,0.09562801
3.93333333,0.09596186
3.96666667,0.09705550
4.00000000,0.09521458
4.03333333,0.09645153
4.06666667,0.09546825
4.10000000,0.09605609
4.13333333,0.09683446
4.16666667,0.09642918
4.20000000,0.09596876
4.23333333,0.09619475
4.26666667,0.09689138
4.30000000,0.09630421
4.33333333,0.09679323
4.36666667,0.09676990
4.40000000,0.09650465
4.43333333,0.09783504
4.46666667,0.09719564
4.50000000,0.09602966
4.53333333,0.09708942
4.56666667,0.09674902
4.60000000,0.09748762
4.63333333,0.09678071
4.66666667,0.09713468
4.70000000,0.09746104
4.73333333,0.09766796
4.76666667,0.09676428
4.80000000,0.09720008
4.83333333,0.09717484
4.86666667,0.09713129
4.90000000,0.09827426
4.93333333,0.09768839
4.96666667,0.09696199
5.00000000,0.09799251
