time,force_meas_N,disp_meas,force_sim_N,disp_sim
9.937888198757738323e-04,5.328947368421040665e+03,1.459700132710415980e-02,1.455261251273965354e+04,1.099007005650272373e-02
3.478260869565215352e-03,2.042763157894734104e+04,3.863933996856998287e-02,5.441567260381199594e+04,3.841486854242530391e-02
5.217391304347819558e-03,3.996710526315792231e+04,5.901714635639929152e-02,8.551654079191545316e+04,5.751536630804878619e-02
6.956521739130430704e-03,5.684210526315792231e+04,7.897267177820310735e-02,1.194145173588567559e+05,7.648047122833644129e-02
7.950310559006204536e-03,7.016447368421051942e+04,8.926650153135759491e-02,1.400672156508835906e+05,8.723647020274497010e-02
8.695652173913034910e-03,9.858552631578942237e+04,9.698687384622345364e-02,1.561679187363166711e+05,9.525665303070293688e-02
9.440993788819872223e-03,1.127960526315789029e+05,1.048618870751271553e-01,1.727854881338873238e+05,1.032315336036764841e-01
9.937888198757759139e-03,1.367763157894736505e+05,1.102777864477667707e-01,1.841455931604950456e+05,1.085205790827495631e-01
1.142857142857142683e-02,1.669736842105262913e+05,1.267452250642243095e-01,2.193275178569316631e+05,1.242393003940602675e-01
1.267080745341614412e-02,1.927302631578947476e+05,1.404181672923949520e-01,2.484893955285933334e+05,1.371456403641000410e-01
1.614906832298135947e-02,2.122697368421052524e+05,1.732447067412996033e-01,3.136621165616186918e+05,1.721518931754294490e-01
1.913043478260868790e-02,2.451315789473683981e+05,2.040888326943470221e-01,3.338144570108797634e+05,2.006084255161668106e-01
2.037267080745341213e-02,2.833223684210525826e+05,2.156843207703608989e-01,3.313028392116836039e+05,2.120116614857134874e-01
2.062111801242235559e-02,3.081907894736841554e+05,2.177876852808122432e-01,3.301327341311007040e+05,2.142601890641742390e-01
2.161490683229813636e-02,3.383881578947367962e+05,2.262011433226177315e-01,3.235989989949435694e+05,2.231484274862669537e-01
2.236024844720496674e-02,3.623684210526315728e+05,2.327841833154962736e-01,3.171372163334458601e+05,2.297049631936385894e-01
2.285714285714285365e-02,3.801315789473684272e+05,2.372257752658585850e-01,3.123155242066148203e+05,2.340247642714348153e-01
2.360248447204969097e-02,3.899013157894736505e+05,2.438881631914021075e-01,3.046480983658599434e+05,2.404291677230316060e-01
2.484472049689440826e-02,3.756907894736842136e+05,2.528309905197778096e-01,2.918897977952145739e+05,2.509079692611786427e-01
2.608695652173912555e-02,3.588157894736842136e+05,2.607093821510297893e-01,2.810273577963254065e+05,2.611515298376383964e-01
2.683229813664595592e-02,3.348355263157894951e+05,2.654364171297809993e-01,2.762399724946377100e+05,2.671884351376695999e-01
2.757763975155278630e-02,3.188486842105262913e+05,2.701634521085321539e-01,2.731870738255323377e+05,2.731451869330094873e-01
2.807453416149068709e-02,3.001973684210525826e+05,2.733148087610330346e-01,2.722543751689075725e+05,2.770722821902689703e-01
2.881987577639751746e-02,2.886513157894736505e+05,2.786466898954704230e-01,2.726610951950671733e+05,2.828971133640361679e-01
3.055900621118012167e-02,2.779934210526315728e+05,2.927540069686411228e-01,2.824979676498027984e+05,2.961792219012470140e-01
3.204968944099378242e-02,2.859868421052631456e+05,3.042114417495954681e-01,3.002192870230370900e+05,3.072087271611215753e-01
3.279503105590061279e-02,2.984210526315789321e+05,3.094657513008594596e-01,3.101177578390335548e+05,3.125942780675471933e-01
3.354037267080745705e-02,3.108552631578946603e+05,3.147200608521236176e-01,3.197330683695010957e+05,3.178898995536537098e-01
3.453416149068323088e-02,3.303947368421052815e+05,3.217258069204756432e-01,3.320679640969057218e+05,3.248060322179225357e-01
3.602484472049689163e-02,3.597039473684210679e+05,3.316312520431513589e-01,3.494101580058230320e+05,3.348573722528199736e-01
3.751552795031056625e-02,3.810197368421052815e+05,3.410853220006538900e-01,3.651874124915185967e+05,3.445035374997311162e-01
3.900621118012422700e-02,3.961184210526315728e+05,3.505393919581562545e-01,3.784541863552090945e+05,3.537263114616694404e-01
4.124223602484471812e-02,4.023355263157894951e+05,3.621757901909193889e-01,3.890996623067522887e+05,3.667348121848906239e-01
4.397515527950311004e-02,3.943421052631578641e+05,3.776208654527412611e-01,3.811000019334646640e+05,3.812599691605094709e-01
4.496894409937888387e-02,3.827960526315789321e+05,3.837614182678876773e-01,3.722811596277396893e+05,3.861708520941225520e-01
4.546583850931677079e-02,3.703618421052631456e+05,3.868316946754609131e-01,3.668348370953428675e+05,3.885539850093886471e-01
4.621118012422360116e-02,3.579276315789473592e+05,3.907166076507808117e-01,3.575547194538929034e+05,3.920402466417323151e-01
4.670807453416148808e-02,3.472697368421052815e+05,3.928150577581703828e-01,3.507457096438221633e+05,3.943066439034139670e-01
4.720496894409937499e-02,3.375000000000000000e+05,3.949135078655598985e-01,3.435440271796758752e+05,3.965278482866177456e-01
4.745341614906831845e-02,3.277302631578946603e+05,3.959627329192547118e-01,3.398259724746891297e+05,3.976217939002441581e-01
4.819875776397516270e-02,3.117434210526315728e+05,3.991104080803390963e-01,3.283529311522179050e+05,4.008384495897179822e-01
4.894409937888199308e-02,2.993092105263157282e+05,4.022580832414234253e-01,3.166695965219806531e+05,4.039599186114782303e-01
4.944099378881987999e-02,2.859868421052631456e+05,4.043565333488129410e-01,3.089341876391186379e+05,4.059896694886451218e-01
4.993788819875775303e-02,2.700000000000000000e+05,4.064549834562024566e-01,3.013585012374471407e+05,4.079795871780088623e-01
5.093167701863354074e-02,2.531249999999999709e+05,4.106518836709815989e-01,2.870686406212674920e+05,4.118437670578430909e-01
5.267080745341615883e-02,2.300328947368420777e+05,4.182059338890766753e-01,2.665921132646913175e+05,4.182537004283648496e-01
5.590062111801242378e-02,2.175986842105262913e+05,4.329398076380446825e-01,2.502643935620465782e+05,4.290537109485441092e-01
6.111801242236023640e-02,2.007236842105262913e+05,4.516385197724030465e-01,2.463921250242049573e+05,4.436124918267749240e-01
6.633540372670806984e-02,2.033881578947368253e+05,4.661228147632009433e-01,2.351174148439075216e+05,4.546787953799268367e-01
6.981366459627330601e-02,2.104934210526315728e+05,4.723727439696428498e-01,2.233199798204045510e+05,4.601908388053935206e-01
7.254658385093165629e-02,2.069407894736841554e+05,4.755412824897165547e-01,2.090214730951525853e+05,4.635298285689327114e-01
7.602484472049689246e-02,1.998355263157894660e+05,4.795739678789013860e-01,1.848360579662434757e+05,4.666120700619627026e-01
7.875776397515529825e-02,1.953947368421052524e+05,4.811256524151760194e-01,1.649950157020248589e+05,4.682071344211276576e-01
