time,contact_force,displacement
9.937888198757738323e-04,5.328947368421040665e+00,1.459700132710415980e-02
3.478260869565215352e-03,2.042763157894734150e+01,3.863933996856998287e-02
5.217391304347819558e-03,3.996710526315791867e+01,5.901714635639929152e-02
6.956521739130430704e-03,5.684210526315791867e+01,7.897267177820310735e-02
7.950310559006204536e-03,7.016447368421052033e+01,8.926650153135759491e-02
8.695652173913034910e-03,9.858552631578942282e+01,9.698687384622345364e-02
9.440993788819872223e-03,1.127960526315789025e+02,1.048618870751271553e-01
9.937888198757759139e-03,1.367763157894736423e+02,1.102777864477667707e-01
1.142857142857142683e-02,1.669736842105263008e+02,1.267452250642243095e-01
1.267080745341614412e-02,1.927302631578947398e+02,1.404181672923949520e-01
1.614906832298135947e-02,2.122697368421052602e+02,1.732447067412996033e-01
1.913043478260868790e-02,2.451315789473684106e+02,2.040888326943470221e-01
2.037267080745341213e-02,2.833223684210526017e+02,2.156843207703608989e-01
2.062111801242235559e-02,3.081907894736841627e+02,2.177876852808122432e-01
2.161490683229813636e-02,3.383881578947368212e+02,2.262011433226177315e-01
2.236024844720496674e-02,3.623684210526315610e+02,2.327841833154962736e-01
2.285714285714285365e-02,3.801315789473684390e+02,2.372257752658585850e-01
2.360248447204969097e-02,3.899013157894736423e+02,2.438881631914021075e-01
2.484472049689440826e-02,3.756907894736842195e+02,2.528309905197778096e-01
2.608695652173912555e-02,3.588157894736842195e+02,2.607093821510297893e-01
2.683229813664595592e-02,3.348355263157894797e+02,2.654364171297809993e-01
2.757763975155278630e-02,3.188486842105263008e+02,2.701634521085321539e-01
2.807453416149068709e-02,3.001973684210526017e+02,2.733148087610330346e-01
2.881987577639751746e-02,2.886513157894736423e+02,2.786466898954704230e-01
3.055900621118012167e-02,2.779934210526315610e+02,2.927540069686411228e-01
3.204968944099378242e-02,2.859868421052631220e+02,3.042114417495954681e-01
3.279503105590061279e-02,2.984210526315789593e+02,3.094657513008594596e-01
3.354037267080745705e-02,3.108552631578946830e+02,3.147200608521236176e-01
3.453416149068323088e-02,3.303947368421052602e+02,3.217258069204756432e-01
3.602484472049689163e-02,3.597039473684210407e+02,3.316312520431513589e-01
3.751552795031056625e-02,3.810197368421052602e+02,3.410853220006538900e-01
3.900621118012422700e-02,3.961184210526315610e+02,3.505393919581562545e-01
4.124223602484471812e-02,4.023355263157894797e+02,3.621757901909193889e-01
4.397515527950311004e-02,3.943421052631578618e+02,3.776208654527412611e-01
4.496894409937888387e-02,3.827960526315789593e+02,3.837614182678876773e-01
4.546583850931677079e-02,3.703618421052631220e+02,3.868316946754609131e-01
4.621118012422360116e-02,3.579276315789473415e+02,3.907166076507808117e-01
4.670807453416148808e-02,3.472697368421052602e+02,3.928150577581703828e-01
4.720496894409937499e-02,3.375000000000000000e+02,3.949135078655598985e-01
4.745341614906831845e-02,3.277302631578946830e+02,3.959627329192547118e-01
4.819875776397516270e-02,3.117434210526315610e+02,3.991104080803390963e-01
4.894409937888199308e-02,2.993092105263157237e+02,4.022580832414234253e-01
4.944099378881987999e-02,2.859868421052631220e+02,4.043565333488129410e-01
4.993788819875775303e-02,2.700000000000000000e+02,4.064549834562024566e-01
5.093167701863354074e-02,2.531249999999999716e+02,4.106518836709815989e-01
5.267080745341615883e-02,2.300328947368420813e+02,4.182059338890766753e-01
5.590062111801242378e-02,2.175986842105263008e+02,4.329398076380446825e-01
6.111801242236023640e-02,2.007236842105263008e+02,4.516385197724030465e-01
6.633540372670806984e-02,2.033881578947368212e+02,4.661228147632009433e-01
6.981366459627330601e-02,2.104934210526315610e+02,4.723727439696428498e-01
7.254658385093165629e-02,2.069407894736841627e+02,4.755412824897165547e-01
7.602484472049689246e-02,1.998355263157894797e+02,4.795739678789013860e-01
7.875776397515529825e-02,1.953947368421052602e+02,4.811256524151760194e-01
8.124223602484473283e-02,1.856250000000000000e+02,4.803503941968223501e-01
8.322981366459628050e-02,1.749671052631578618e+02,4.797301876221393702e-01
8.472049689440994125e-02,1.660855263157894797e+02,4.791115025898555757e-01
8.720496894409937583e-02,1.500986842105263008e+02,4.772090737697692875e-01
8.869565217391306433e-02,1.341118421052631220e+02,4.760676164777175035e-01
9.018633540372672508e-02,1.199013157894736423e+02,4.749261591856657749e-01
9.217391304347824499e-02,9.858552631578942282e+01,4.734042161295967666e-01
9.515527950310559424e-02,8.082236842105265850e+01,4.711213015454931985e-01
9.714285714285714191e-02,6.483552631578947967e+01,4.690211381764700094e-01
1.011180124223602650e-01,4.707236842105260166e+01,4.647015510913558023e-01
1.050931677018633603e-01,3.197368421052630083e+01,4.593014147069885977e-01
1.110559006211180311e-01,1.865131578947369917e+01,4.511872368932520749e-01
1.165217391304347871e-01,1.243421052631583734e+01,4.478893556714075852e-01
1.239751552795031186e-01,1.243421052631583734e+01,4.344358780913797902e-01
1.296894409937888459e-01,1.065789473684208133e+01,4.271576863765046972e-01
1.386335403726708382e-01,7.105263157894739834e+00,4.167678283377724280e-01
1.475776397515528304e-01,4.440789473684219502e+00,4.025812159690860814e-01
1.510559006211180388e-01,2.664473684210520332e+00,3.996503496503496788e-01
